GridID,rho_roe,n_roe,rho_moose,n_moose,rho_wolf,n_wolf
250,-0.32121212121212117,10.0,-0.14285714285714288,6.0,,
251,-0.07142857142857144,8.0,-0.35,9.0,,
252,0.48571428571428577,6.0,0.6,6.0,,
253,0.35990981758678214,11.0,0.7142857142857143,6.0,,
256,,,0.0,5.0,,
258,,,-0.23424374030084538,7.0,,
263,,,0.7,5.0,,
265,,,-0.08571428571428573,6.0,,
271,,,0.13667461427346156,11.0,,
272,,,-0.4520595073274509,11.0,,
273,,,-0.8207826816681234,5.0,,
280,-0.09999999999999999,5.0,,,,
281,0.016666666666666666,9.0,-0.14285714285714288,7.0,,
282,-0.38181818181818183,10.0,-0.15569141404872366,8.0,,
283,0.07142857142857144,8.0,0.1785714285714286,7.0,,
284,-0.5666666666666667,9.0,0.6139845991168652,10.0,,
285,-0.5714285714285715,8.0,-0.7,5.0,,
286,0.03571428571428572,7.0,-0.3333333333333334,8.0,,
287,-0.12727272727272726,10.0,-0.2027972027972028,12.0,,
288,0.39999999999999997,9.0,-0.5166666666666667,9.0,,
289,0.39999999999999997,9.0,-0.3727272727272728,11.0,,
290,0.7333333333333334,9.0,-0.3,5.0,,
291,0.6,5.0,,,,
292,-0.28571428571428575,7.0,,,,
294,0.15062893357603013,9.0,0.028571428571428574,6.0,,
295,0.4058397249567139,6.0,-0.03571428571428572,7.0,,
296,,,-0.19999999999999998,5.0,,
298,,,0.2571428571428572,6.0,,
299,,,-0.7714285714285715,6.0,,
300,-0.6988459044322258,8.0,-0.07142857142857144,8.0,,
302,,,0.8999999999999998,5.0,,
305,,,0.51234753829798,8.0,,
307,,,0.35909242322980395,5.0,,
308,,,-0.05882560647712125,9.0,,
309,,,-0.027460601323575695,11.0,,
310,,,0.670670706671425,8.0,,
311,,,0.09874469975526588,15.0,,
316,-0.309090909090909,10.0,-0.2142857142857143,8.0,,
317,-0.5151515151515151,10.0,-0.42857142857142866,7.0,,
320,0.4047619047619048,8.0,-0.3571428571428572,8.0,,
321,0.11666666666666665,9.0,-0.10000000000000002,11.0,,
322,-0.5664335664335665,12.0,-0.30000000000000004,11.0,,
323,-0.605924123279013,11.0,-0.4036867138796656,11.0,,
